"id","flow_gpd","configuration_name","drainfield_size","unobstructed_area"
670,1360,"Trench split in half",850,1275
671,1360,"Bed split in half with ATU",851,1277
672,1360,"Trench split in half with ATU",638,957
673,1420,"Bed",2367,3551
674,1420,"Trench",1775,2663
675,1420,"Bed with ATU",1776,2664
676,1420,"Trench with ATU",1332,1998
677,1420,"Bed split in half",1184,1776
678,1420,"Trench split in half",888,1332
679,1420,"Bed split in half with ATU",888,1332
680,1420,"Trench split in half with ATU",666,999
681,1480,"Bed",2467,3701
682,1480,"Trench",1850,2775
683,1480,"Bed with ATU",1851,2777
684,1480,"Trench with ATU",1388,2082
685,1480,"Bed split in half",1234,1851
686,1480,"Trench split in half",925,1388
687,1480,"Bed split in half with ATU",926,1389
688,1480,"Trench split in half with ATU",694,1041
689,1540,"Bed",2567,3851
690,1540,"Trench",1925,2888
691,1540,"Bed with ATU",1926,2889
692,1540,"Trench with ATU",1444,2166
693,1540,"Bed split in half",1284,1926
694,1540,"Trench split in half",963,1445
695,1540,"Bed split in half with ATU",963,1445
696,1540,"Trench split in half with ATU",722,1083
697,1600,"Bed",2667,4001
698,1600,"Trench",2000,3000
699,1600,"Bed with ATU",2001,3002
700,1600,"Trench with ATU",1500,2250
701,1600,"Bed split in half",1334,2001
702,1600,"Trench split in half",1000,1500
703,1600,"Bed split in half with ATU",1001,1502
704,1600,"Trench split in half with ATU",750,1125
705,1660,"Bed",2767,4151
706,1660,"Trench",2075,3113
707,1660,"Bed with ATU",2076,3114
708,1660,"Trench with ATU",1557,2336
709,1660,"Bed split in half",1384,2076
710,1660,"Trench split in half",1038,1557
711,1660,"Bed split in half with ATU",1038,1557
712,1660,"Trench split in half with ATU",779,1169
713,1720,"Bed",2867,4301
714,1720,"Trench",2150,3225
715,1720,"Bed with ATU",2151,3227
716,1720,"Trench with ATU",1613,2420
717,1720,"Bed split in half",1434,2151
718,1720,"Trench split in half",1075,1613
719,1720,"Bed split in half with ATU",1076,1614
720,1720,"Trench split in half with ATU",807,1211
721,1780,"Bed",2967,4451
722,1780,"Trench",2225,3338
723,1780,"Bed with ATU",2226,3339
724,1780,"Trench with ATU",1669,2504
725,1780,"Bed split in half",1484,2226
726,1780,"Trench split in half",1113,1670
727,1780,"Bed split in half with ATU",1113,1670
728,1780,"Trench split in half with ATU",835,1253
729,1840,"Bed",3067,4601
730,1840,"Trench",2300,3450
731,1840,"Bed with ATU",2301,3452
732,1840,"Trench with ATU",1725,2588
733,1840,"Bed split in half",1534,2301
734,1840,"Trench split in half",1150,1725
735,1840,"Bed split in half with ATU",1151,1727
736,1840,"Trench split in half with ATU",863,1295
737,1900,"Bed",3167,4751
738,1900,"Trench",2375,3563
739,1900,"Bed with ATU",2376,3564
740,1900,"Trench with ATU",1782,2673
741,1900,"Bed split in half",1584,2376
742,1900,"Trench split in half",1188,1782
743,1900,"Bed split in half with ATU",1188,1782
744,1900,"Trench split in half with ATU",891,1337
745,1960,"Bed",3267,4901
746,1960,"Trench",2450,3675
747,1960,"Bed with ATU",2451,3677
748,1960,"Trench with ATU",1838,2757
749,1960,"Bed split in half",1634,2451
750,1960,"Trench split in half",1225,1838
751,1960,"Bed split in half with ATU",1226,1839
752,1960,"Trench split in half with ATU",919,1379
753,2020,"Bed",3367,5051
754,2020,"Trench",2525,3788
755,2020,"Bed with ATU",2526,3789
756,2020,"Trench with ATU",1894,2841
757,2020,"Bed split in half",1684,2526
758,2020,"Trench split in half",1263,1895
759,2020,"Bed split in half with ATU",1263,1895
760,2020,"Trench split in half with ATU",947,1421
761,2080,"Bed",3467,5201
762,2080,"Trench",2600,3900
763,2080,"Bed with ATU",2601,3902
764,2080,"Trench with ATU",1950,2925
765,2080,"Bed split in half",1734,2601
766,2080,"Trench split in half",1300,1950
767,2080,"Bed split in half with ATU",1301,1952
768,2080,"Trench split in half with ATU",975,1463
