"id","bedrooms","square_footage_min","square_footage_max","flow_gpd"
645,21,3301,4051,1420
646,21,4052,4801,1420
647,21,4802,5551,1420
648,21,5552,6301,1420
649,21,6302,7051,1420
650,21,7052,7801,1420
651,21,7802,8551,1420
652,21,8552,9301,1420
653,21,9302,10051,1420
654,21,10052,10801,1420
655,21,10802,11551,1420
656,21,11552,12301,1420
657,21,12302,13051,1420
658,21,13052,13801,1420
659,21,13802,14551,1420
660,21,14552,15301,1420
661,21,15302,16051,1420
662,21,16052,16801,1480
663,21,16802,17551,1540
664,21,17552,18301,1600
665,21,18302,19051,1660
666,21,19052,19801,1720
667,21,19802,20551,1780
668,21,20552,21301,1840
669,21,21302,22051,1900
670,21,22052,22801,1960
671,21,22802,23551,2020
672,21,23552,24301,2080
673,22,0,750,1480
674,22,751,1200,1480
675,22,1201,2250,1480
676,22,2251,3300,1480
677,22,3301,4051,1480
678,22,4052,4801,1480
679,22,4802,5551,1480
680,22,5552,6301,1480
681,22,6302,7051,1480
682,22,7052,7801,1480
683,22,7802,8551,1480
684,22,8552,9301,1480
685,22,9302,10051,1480
686,22,10052,10801,1480
687,22,10802,11551,1480
688,22,11552,12301,1480
689,22,12302,13051,1480
690,22,13052,13801,1480
691,22,13802,14551,1480
692,22,14552,15301,1480
693,22,15302,16051,1480
694,22,16052,16801,1480
695,22,16802,17551,1540
696,22,17552,18301,1600
697,22,18302,19051,1660
698,22,19052,19801,1720
699,22,19802,20551,1780
700,22,20552,21301,1840
701,22,21302,22051,1900
702,22,22052,22801,1960
703,22,22802,23551,2020
704,22,23552,24301,2080
705,23,0,750,1540
706,23,751,1200,1540
707,23,1201,2250,1540
708,23,2251,3300,1540
709,23,3301,4051,1540
710,23,4052,4801,1540
711,23,4802,5551,1540
712,23,5552,6301,1540
713,23,6302,7051,1540
714,23,7052,7801,1540
715,23,7802,8551,1540
716,23,8552,9301,1540
717,23,9302,10051,1540
718,23,10052,10801,1540
719,23,10802,11551,1540
720,23,11552,12301,1540
721,23,12302,13051,1540
722,23,13052,13801,1540
723,23,13802,14551,1540
724,23,14552,15301,1540
725,23,15302,16051,1540
726,23,16052,16801,1540
727,23,16802,17551,1540
728,23,17552,18301,1600
729,23,18302,19051,1660
730,23,19052,19801,1720
731,23,19802,20551,1780
732,23,20552,21301,1840
733,23,21302,22051,1900
734,23,22052,22801,1960
735,23,22802,23551,2020
736,23,23552,24301,2080
737,24,0,750,1600
738,24,751,1200,1600
739,24,1201,2250,1600
740,24,2251,3300,1600
741,24,3301,4051,1600
742,24,4052,4801,1600
743,24,4802,5551,1600
744,24,5552,6301,1600
745,24,6302,7051,1600
746,24,7052,7801,1600
747,24,7802,8551,1600
748,24,8552,9301,1600
749,24,9302,10051,1600
750,24,10052,10801,1600
751,24,10802,11551,1600
752,24,11552,12301,1600
753,24,12302,13051,1600
754,24,13052,13801,1600
755,24,13802,14551,1600
756,24,14552,15301,1600
757,24,15302,16051,1600
758,24,16052,16801,1600
759,24,16802,17551,1600
760,24,17552,18301,1600
761,24,18302,19051,1660
762,24,19052,19801,1720
763,24,19802,20551,1780
764,24,20552,21301,1840
765,24,21302,22051,1900
766,24,22052,22801,1960
767,24,22802,23551,2020
768,24,23552,24301,2080
769,25,0,750,1660
770,25,751,1200,1660
771,25,1201,2250,1660
772,25,2251,3300,1660
773,25,3301,4051,1660
774,25,4052,4801,1660
775,25,4802,5551,1660
776,25,5552,6301,1660
777,25,6302,7051,1660
778,25,7052,7801,1660
779,25,7802,8551,1660
780,25,8552,9301,1660
781,25,9302,10051,1660
782,25,10052,10801,1660
783,25,10802,11551,1660
784,25,11552,12301,1660
785,25,12302,13051,1660
786,25,13052,13801,1660
787,25,13802,14551,1660
788,25,14552,15301,1660
789,25,15302,16051,1660
790,25,16052,16801,1660
791,25,16802,17551,1660
792,25,17552,18301,1660
793,25,18302,19051,1660
794,25,19052,19801,1720
795,25,19802,20551,1780
796,25,20552,21301,1840
797,25,21302,22051,1900
798,25,22052,22801,1960
799,25,22802,23551,2020
800,25,23552,24301,2080
801,26,0,750,1720
802,26,751,1200,1720
803,26,1201,2250,1720
804,26,2251,3300,1720
805,26,3301,4051,1720
806,26,4052,4801,1720
807,26,4802,5551,1720
808,26,5552,6301,1720
809,26,6302,7051,1720
810,26,7052,7801,1720
811,26,7802,8551,1720
812,26,8552,9301,1720
813,26,9302,10051,1720
814,26,10052,10801,1720
815,26,10802,11551,1720
816,26,11552,12301,1720
817,26,12302,13051,1720
818,26,13052,13801,1720
819,26,13802,14551,1720
820,26,14552,15301,1720
821,26,15302,16051,1720
822,26,16052,16801,1720
823,26,16802,17551,1720
824,26,17552,18301,1720
825,26,18302,19051,1720
826,26,19052,19801,1720
827,26,19802,20551,1780
828,26,20552,21301,1840
829,26,21302,22051,1900
830,26,22052,22801,1960
831,26,22802,23551,2020
832,26,23552,24301,2080
833,27,0,750,1780
834,27,751,1200,1780
835,27,1201,2250,1780
836,27,2251,3300,1780
837,27,3301,4051,1780
838,27,4052,4801,1780
839,27,4802,5551,1780
840,27,5552,6301,1780
841,27,6302,7051,1780
842,27,7052,7801,1780
843,27,7802,8551,1780
844,27,8552,9301,1780
845,27,9302,10051,1780
846,27,10052,10801,1780
847,27,10802,11551,1780
848,27,11552,12301,1780
849,27,12302,13051,1780
850,27,13052,13801,1780
851,27,13802,14551,1780
852,27,14552,15301,1780
853,27,15302,16051,1780
854,27,16052,16801,1780
855,27,16802,17551,1780
856,27,17552,18301,1780
857,27,18302,19051,1780
858,27,19052,19801,1780
859,27,19802,20551,1780
860,27,20552,21301,1840
861,27,21302,22051,1900
862,27,22052,22801,1960
863,27,22802,23551,2020
864,27,23552,24301,2080
865,28,0,750,1840
866,28,751,1200,1840
867,28,1201,2250,1840
868,28,2251,3300,1840
869,28,3301,4051,1840
870,28,4052,4801,1840
871,28,4802,5551,1840
872,28,5552,6301,1840
873,28,6302,7051,1840
874,28,7052,7801,1840
875,28,7802,8551,1840
